num_announcements, num_withdrawals, duplicate_announce, longest_aspath, shortest_aspath, avg_as_path, num_prepended_ases, tlong_events, tshort_events, avg_edit_distance, max_edit_distance, num_edited_paths, rare_as1, rare_as2, rare_as3, rare_as4, rare_as5, event_type, mrai
15, 2, 9, 10, 3, 6.363636363636363, 11, 0, 0, 0.0, 0, 0, 0, 0, 0, 0, 0,1,5
9, 3, 6, 9, 3, 6.361, 7, 0, 1, 3.0, 3, 1, 0, 0, 0, 0, 0,1,5
8, 3, 5, 9, 5, 6.3585657370517925, 2, 0, 0, 1.0, 1, 1, 0, 0, 0, 0, 0,1,5
20, 3, 16, 16, 3, 6.367850098619329, 37, 2, 1, 5.5, 14, 4, 0, 0, 0, 0, 0,1,5
10, 2, 6, 8, 3, 6.368989205103042, 13, 0, 1, 6.0, 6, 1, 0, 0, 0, 0, 0,1,5
31, 5, 23, 14, 3, 6.369260512324795, 40, 4, 1, 4.333333333333333, 8, 6, 0, 0, 0, 0, 0,1,5
17, 4, 9, 9, 3, 6.360498561840844, 9, 1, 1, 2.25, 4, 4, 0, 0, 0, 0, 0,1,5
20, 2, 12, 8, 3, 6.351377018043685, 14, 2, 3, 3.8333333333333335, 6, 6, 4, 0, 0, 0, 0,1,5
24, 2, 18, 16, 3, 6.357276995305164, 42, 2, 3, 6.6, 13, 5, 0, 0, 0, 0, 0,1,5
21, 5, 11, 10, 3, 6.359832635983263, 33, 2, 1, 3.6666666666666665, 5, 3, 1, 0, 0, 0, 0,1,5
14, 1, 3, 12, 4, 6.358429561200924, 12, 0, 2, 3.75, 9, 4, 1, 0, 0, 0, 0,1,5
20, 1, 14, 16, 5, 6.3752860411899315, 43, 1, 1, 2.2, 4, 5, 0, 0, 0, 0, 0,1,5
18, 4, 13, 13, 3, 6.374489332728098, 13, 1, 1, 8.0, 9, 2, 0, 0, 0, 0, 0,1,5
11, 1, 9, 9, 5, 6.375338753387534, 7, 1, 1, 3.0, 4, 3, 0, 0, 0, 0, 0,1,5
